year,hires,terminations,net_change,net_change_ercent
2000,211,26,185,87.68
2001,1082,197,885,81.79
2002,1012,161,851,84.09
2003,1088,188,900,82.72
2004,1087,190,897,82.52
2005,1038,166,872,84.01
2006,1069,169,900,84.19
2007,1058,139,919,86.86
2008,1061,137,924,87.09
2009,1094,142,952,87.02
2010,1050,119,931,88.67
2011,1057,107,950,89.88
2012,1059,102,957,90.37
2013,1042,89,953,91.46
2014,1014,81,933,92.01
2015,1011,69,942,93.18
2016,1076,62,1014,94.24
2017,1043,49,994,95.30
2018,1090,42,1048,96.15
2019,1038,45,993,95.66
2020,967,22,945,97.72
